name,lat,long,facility_type,ownership,emergency_beds_x,ambulance_available_x,emergency_beds_y,ambulance_available_y,hospital_name_clean,insurance_networks
"Sahydri Hospital Ltd. SahyadriHospital, Bibvewadi",18.4768711,73.8625507,private hospital,Private,,,,,sahydri hospital ltd sahyadrihospital bibvewadi,[]
Dr.Karne Women's Clinic,18.477408,73.818996,private clinic,Private,,,,,drkarne womens clinic,[]
Jagtap Hospital,18.4774274,73.82381146,private hospital,Private,N.A.,YES,N.A.,YES,jagtap hospital,"['TATA AIG', 'Care Health']"
Physiotherapy Clinic Pune NIBM,18.4775269,73.9015156,private clinic,Private,,,,,physiotherapy clinic pune nibm,[]
Pharande Eye Hospital & PhacoCenter,18.4777778,73.82399111,private hospital,Private,,,,,pharande eye hospital phacocenter,[]
Pune Center Of Homoeopathy Dr.Upasani's clinic,18.4787696,73.8966072,private clinic,Private,,,,,pune center of homoeopathy drupasanis clinic,[]
Dr.Chavan Clinic,18.478815,73.824445,private clinic,Private,,,,,drchavan clinic,[]
Madhukar General Hospital,18.4788986,73.82411119,private hospital,Private,N.A.,N.A.,N.A.,N.A.,madhukar general hospital,[]
Patil Hospital,18.4791546,73.82480223,private hospital,Private,N.A.,N.A.,N.A.,N.A.,patil hospital,"['Aditya Birla', 'TATA AIG', 'HDFC ERGO']"
Patil Hospital,18.4791546,73.82480223,private hospital,Private,N.A.,N.A.,N.A.,N.A.,patil hospital,"['Aditya Birla', 'TATA AIG', 'HDFC ERGO']"
Patil Hospital,18.4791546,73.82480223,private hospital,Private,N.A.,N.A.,N.A.,N.A.,patil hospital,"['Aditya Birla', 'TATA AIG', 'HDFC ERGO']"
Patil Hospital,18.4791546,73.82480223,private hospital,Private,N.A.,N.A.,N.A.,N.A.,patil hospital,"['Aditya Birla', 'TATA AIG', 'HDFC ERGO']"
"Apollo Clinic - Wanowrie, Pune",18.4793626,73.8960878,private clinic,Private,,,,,apollo clinic wanowrie pune,[]
